State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,32941,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32949,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32950,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32951,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32952,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32953,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32954,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32955,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32956,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32959,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,32976,Florida State and County,0.06,0.06500,0.00500,0,0,2
FL,33004,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33008,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33009,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33019,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33020,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33021,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33022,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33023,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33024,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33025,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33026,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33027,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33028,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33029,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33060,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33061,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33062,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33063,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33064,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33065,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33066,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33067,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33068,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33069,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33071,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33072,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33073,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33074,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33075,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33076,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33077,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33081,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33082,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33083,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33084,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33093,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33093,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33097,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33301,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33302,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33303,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33304,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33305,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33306,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33307,Florida State and County,0.06,0.06000,0.00000,0,0,2
FL,33308,Florida State and County,0.06,0.06000,0.00000,0,0,2
